,CI_NAME,EQUIPTYPE
1187,GTBR01,BTS
1188,GTBU01,BTS
1189,GTCA01,BTS
1190,GTCE01,BTS
1191,GTCO01,BTS
1192,GTFB01,BTS
1193,GTFO01,BTS
1194,GTIR01,BTS
1195,GTIR02,BTS
1196,GTIR03,BTS
1197,GTIR04,BTS
1198,GTIR05,BTS
1199,GTIR06,BTS
1200,GTIR07,BTS
1201,GTIR08,BTS
1202,GTIR09,BTS
1203,GTIR10,BTS
1204,GTIR11,BTS
1205,GTIR12,BTS
1206,GTIR13,BTS
1207,RJPE05,BTS
1208,RJME23,BTS
1210,RJME24,BTS
1211,RJME25,BTS
1212,RJME26,BTS
1213,RJME27,BTS
1214,RJME28,BTS
1215,RJME29,BTS
1216,RJME32,BTS
1217,RJME35,BTS
1218,RJME36,BTS
1219,RJME38,BTS
1220,RJME39,BTS
1221,RJME40,BTS
1222,RJME41,BTS
1223,RJOX29,BTS
1224,RJOX31,BTS
1225,RJOX43,BTS
1226,RJOX44,BTS
1227,RJPE01,BTS
1228,RJPE02,BTS
1229,RJPE03,BTS
1230,RJPE04,BTS
1231,GUER01,BTS
1232,GUFG01,BTS
1233,GUIN01,BTS
1234,GUPA01,BTS
1235,GUPI01,BTS
1236,GUPI02,BTS
1237,GTIR14,BTS
1238,GTIR20,BTS
1239,GTOL01,BTS
1240,GTPB01,BTS
1241,GTPC01,BTS
1242,GTPI01,BTS
1285,GUAC01,BTS
1286,GUAP01,BTS
1287,GUAP02,BTS
1288,GUAP03,BTS
1289,GUAP04,BTS
1290,GUBO01,BTS
1291,GUBQ01,BTS
1292,GUBR01,BTS
1293,GUBR02,BTS
1294,GUBR03,BTS
1295,GUBR05,BTS
1296,GUBR06,BTS
1297,GUBR07,BTS
1298,GUBT01,BTS
1299,CLBH55,BTS
1300,CLBH87,BTS
1301,CLBH88,BTS
1302,CLCT01,BTS
1303,CLND01,BTS
1304,CLND02,BTS
1305,CLND03,BTS
1306,JVEX01,BTS
1307,MFMO01,BTS
1308,MFSU01,BTS
1309,MGAB01,BTS
1310,MGAB02,BTS
1311,MGAB04,BTS
1312,MGAB05,BTS
1313,MGAB07,BTS
1314,MGAB09,BTS
1315,MGAB10,BTS
1316,MGAB11,BTS
1317,MGAB12,BTS
1318,MGAB13,BTS
1319,MGAB14,BTS
1320,MGAB16,BTS
1321,MGAB17,BTS
1322,MGAB19,BTS
1323,MGAB22,BTS
1324,MGAB23,BTS
1325,MGAB24,BTS
1326,MGAB25,BTS
1327,MGAB26,BTS
1328,MGAB28,BTS
1329,MGAB31,BTS
1330,MGAB32,BTS
1331,MGAB41,BTS
1332,MGAB42,BTS
1333,MGAB43,BTS
1334,MGAB47,BTS
1335,MGAB98,BTS
1336,MGAC03,BTS
1337,MGAC08,BTS
1338,MGAC15,BTS
1339,MGAC29,BTS
1340,MGAC39,BTS
1341,JTCT01,BTS
1342,JUBE01,BTS
1343,JUCA01,BTS
1344,JUCE01,BTS
1345,JUDS01,BTS
1346,JUPR01,BTS
1347,JVAL01,BTS
1348,JVAN01,BTS
1349,JVAR01,BTS
1350,JVAT01,BTS
1351,JVBA01,BTS
1352,JVBR01,BTS
1353,JVBV01,BTS
1354,GUVB01,BTS
1355,GYMO01,BTS
1356,GYOB01,BTS
1357,HBMO01,BTS
1358,HSBR01,BTS
1359,HVLR01,BTS
1360,HVMO01,BTS
1361,IACD01,BTS
1362,IACE01,BTS
1363,JVBV02,BTS
1364,JVBW01,BTS
1365,JVCC01,BTS
1366,JVCE01,BTS
1367,JVCS01,BTS
1368,JVDF01,BTS
1369,JVDF02,BTS
1370,RJPE06,BTS
1371,RJPE07,BTS
1372,RJPE08,BTS
1373,RJPE09,BTS
1374,RJPE10,BTS
1375,RJPE11,BTS
1376,RJPE12,BTS
1377,RJPE14,BTS
1378,RJPE15,BTS
1379,RJPE17,BTS
1380,RJPE18,BTS
1381,RJPE22,BTS
1382,RJPE23,BTS
1383,RJPE24,BTS
1384,RJPE25,BTS
1427,RJPE27,BTS
1428,RJPE28,BTS
1429,RJPE29,BTS
1430,RJPE30,BTS
1431,RJPE31,BTS
1432,RJPE32,BTS
1434,RJPE33,BTS
1435,RJPE34,BTS
1436,RJPE36,BTS
1437,RJPE37,BTS
1438,RJPE38,BTS
1439,RJPE39,BTS
1440,RJPE40,BTS
1441,NLSP03,BTS
1442,LEMO01,BTS
1443,JPCT01,BTS
1444,JPRI01,BTS
1445,JPRI02,BTS
1446,JPRI03,BTS
1447,JRAC01,BTS
