CI_NAME,EQUIPTYPE
MWE-SC-AFNS01-Y3594-EXPANSAO,MWE
MWE-SC-AFNS01-Y3595-EXPANSAO,MWE
MWE-SC-AFNS01-Y3596-EXPANSAO,MWE
MWE-SC-BVCE01-Y5508-DIR-SC5024,MWE
MWE-SC-SCMW05-Y1806-X-BLIR01 L2,MWE
MWE-SC-SCMW05-Y1808-X-BLIR01 L3,MWE
MWE-SE-BQAR01-T1,MWE
MWE-SE-BQAR01-T2,MWE
MWE-SE-ESAR01-N1,MWE
MWE-SE-ESAR02-N1,MWE
MWE-SE-ESAR02-T1,MWE
MWE-SE-ESAR03-T1,MWE
MWE-SE-IHAR01-T1,MWE
MWE-SE-LGAR01-T1,MWE
MWE-SP-ANRD01-N1,MWE
MWE-SP-CBSJ01-N1,MWE
MWE-SP-CJAB01-N1,MWE
MWE-SP-CJVL01-N1,MWE
MWE-SP-NKCT01-N1,MWE
MWE-SP-UBMD01-Y20110-DIR-UBLG01,MWE
MWE-SP-VDVM01-N1,MWE
NEXT-NEXTELJAC6309_1,PDH
NEXT-RJO375_1,PDH
CHNR01,BTS
CARI04,BTS
CARI05,BTS
ANGR12,BTS
ANGR14,BTS
ANGR15,BTS
ANGR16,BTS
ANOL01,BTS
ANRP01,BTS
ANRP02,BTS
AOCE01,BTS
AOIR01,BTS
AOSS99,BTS
AOTR01,BTS
APAE01,BTS
APCE01,BTS
APCE02,BTS
APCS05,BTS
APER01,BTS
BPIR03,BTS
BSPA01,BTS
BTCE01,BTS
BUAR01,BTS
BUCO01,BTS
BVCE01,BTS
BVCE02,BTS
BVDV01,BTS
BVIJ01,BTS
BXGU01,BTS
BZCE01,BTS
BZCE02,BTS
CABB01,BTS
CABB02,BTS
CABB03,BTS
CABB04,BTS
CABI01,BTS
CABR01,BTS
CABR02,BTS
CABR03,BTS
CACE01,BTS
CAMO01,BTS
CANO01,BTS
CARD01,BTS
CARI01,BTS
CARI02,BTS
CARI03,BTS
JUCS02,BTS
LGOB01,BTS
LVHR01,BTS
LVLR01,BTS
MACM01,BTS
MAVI01,BTS
MELR01,BTS
MHHR01,BTS
MILE01,BTS
MORM01,BTS
MRAR01,BTS
PETR25,BTS
PETR26,BTS
PETR27,BTS
PETR28,BTS
PETR29,BTS
PETR30,BTS
PETR31,BTS
SJGU01,BTS
SJHB01,BTS
SJIC01,BTS
SJIN01,BTS
SJIP01,BTS
SJIT01,BTS
SJJN01,BTS
SJMA01,BTS
SJMI01,BTS
SJMI02,BTS
SJMO01,BTS
SJMT01,BTS
SJMT02,BTS
SPSPO_MSAN1080,MSAN
SPSPO_MSAN1081,MSAN
SPSPO_MSAN1082,MSAN
SPSPO_MSAN1083,MSAN
SPSPO_MSAN1084,MSAN
SPSPO_MSAN1085,MSAN
SPSPO_MSAN1086,MSAN
SPSPO_MSAN1087,MSAN
SPSPO_MSAN1088,MSAN
SPSPO_MSAN1089,MSAN
SPSPO_MSAN1090,MSAN
SPSPO_MSAN1091,MSAN
SPSPO_MSAN1092,MSAN
SPSPO_MSAN1093,MSAN
SPSPO_MSAN1094,MSAN
SPSPO_MSAN1095,MSAN
SPSPO_MSAN1096,MSAN
SPSPO_MSAN1097,MSAN
SPSPO_MSAN1098,MSAN
SPSPO_MSAN1100,MSAN
SPSPO_MSAN1101,MSAN
SPSPO_MSAN1102,MSAN
SPSPO_MSAN1103,MSAN
SPSPO_MSAN1104,MSAN
SPSPO_MSAN1105,MSAN
SPSPO_MSAN1119,MSAN
SPSPO_MSAN1120,MSAN
SPSPO_MSAN1121,MSAN
SPSPO_MSAN1122,MSAN
SPSPO_MSAN1123,MSAN
SPSPO_MSAN1124,MSAN
SPSPO_MSAN1125,MSAN
SPSPO_MSAN1126,MSAN
SPSPO_MSAN1127,MSAN
SPSPO_MSAN2411,MSAN
SPSPO_MSAN2412,MSAN
SPSPO_MSAN2413,MSAN
SPSPO_MSAN2416,MSAN
SPSPO_MSAN2418,MSAN
SPSPO_MSAN2419,MSAN
SPSPO_MSAN2421,MSAN
SPSPO_MSAN2422,MSAN
SPSPO_MSAN2423,MSAN
SPSPO_MSAN2425,MSAN
SPSPO_MSAN2426,MSAN
SJMT03,BTS
SJMT04,BTS
SPSPO_MSAN2430,MSAN
SPSPO_MSAN2431,MSAN
SPSPO_MSAN2432,MSAN
SPSPO_MSAN2433,MSAN
SPSPO_MSAN2436,MSAN
SPSPO_MSAN2437,MSAN
SPSPO_MSAN2438,MSAN
SPSPO_MSAN2449,MSAN
SPSPO_MSAN2450,MSAN
SPSPO_MSAN2451,MSAN
SPSPO_MSAN2452,MSAN
SPSPO_MSAN2454,MSAN
SPSPO_MSAN2455,MSAN
SPSPO_MSAN2456,MSAN
SPSPO_MSAN2457,MSAN
SPSPO_MSAN2458,MSAN
SPSPO_MSAN2460,MSAN
SPSPO_MSAN2461,MSAN
SPSPO_MSAN2462,MSAN
SPSPO_MSAN2463,MSAN
SPSPO_MSAN2464,MSAN
SPSPO_MSAN2465,MSAN
SPSPO_MSAN2467,MSAN
SPSPO_MSAN2468,MSAN
SPSPO_MSAN2469,MSAN
SPSPO_MSAN2470,MSAN
SPSPO_MSAN2471,MSAN
SPSPO_MSAN2472,MSAN
SPSPO_MSAN2474,MSAN
SPSPO_MSAN2477,MSAN
SPSPO_MSAN2478,MSAN
SPSPO_MSAN2479,MSAN
SPSPO_MSAN2480,MSAN
SPSPO_MSAN2481,MSAN
SPSPO_MSAN2482,MSAN
SPSPO_MSAN2483,MSAN
SPSPO_MSAN2485,MSAN
SPSPO_MSAN2486,MSAN
SPSPO_MSAN2487,MSAN
SPSPO_MSAN2488,MSAN
SPSPO_MSAN2489,MSAN
SPSPO_MSAN2490,MSAN
SPSPO_MSAN2491,MSAN
SPSPO_SW0024,SWITCH
SJMT05,BTS
SJMT06,BTS
SJMT07,BTS
SJMT08,BTS
SJMT09,BTS
SJMT10,BTS
SJMT11,BTS
SJMT12,BTS
SJMT13,BTS
SJMT14,BTS
SJMT15,BTS
SJMT16,BTS
SJMT17,BTS
SJOE01,BTS
SJPE01,BTS
SJPM01,BTS
SJPP01,BTS
SPSA01,BTS
SPSA02,BTS
SPSA03,BTS
GURX03,BTS
GURX15,BTS
ICDV13,BTS
INDV55,BTS
IPFS07,BTS
JMMA01,BTS
JRMC54,BTS
QLMO98,BTS
QUMD03,BTS
RJBF42,BTS
RJBG08,BTS
RJBT34,BTS
ACAC00,BTS
ACAC01,BTS
ACAC02,BTS
ACAI01,BTS
ACAI02,BTS
ACAI03,BTS
ACAU00,BTS
ACEU01,BTS
ACLD01,BTS
ACLS01,BTS
ACRD01,BTS
MWE-SP-LMVL01-N1,MWE
MWE-SP-LPCT01-N1,MWE
MWE-SP-LPCT01-N2,MWE
MWE-SP-LPCT01-N3,MWE
MWE-SP-LPRD03-N1,MWE
MWE-SP-LPRD03-N2,MWE
SPSPO_SW0025,SWITCH
SPSPO_SW0026,SWITCH
SPSPO_SW0027,SWITCH
SPSPO_SW0028,SWITCH
SPSPO_SW0029,SWITCH
SPSPO_SW0030,SWITCH
SPSPO_SW0031,SWITCH
SPSPO_SW0032,SWITCH
SPSPO_SW0033,SWITCH
SPSPO_SW0034,SWITCH
SPSPO_SW0035,SWITCH
SPSPO_SW0036,SWITCH
SPSPO_SW0037,SWITCH
ACRD02,BTS
ACVR01,BTS
ADAD00,BTS
ADAD01,BTS
ADMC01,BTS
ADMM01,BTS
ADWO01,BTS
AEAE00,BTS
AECS01,BTS
AECT01,BTS
AERD01,BTS
AFAF00,BTS
MWE-SP-LPTI01-N1,MWE
MWE-SP-LPTI01-N2,MWE
MWE-SP-LPTI01-N3,MWE
AFAF02,BTS
MRCV01,BTS
PDRD01,BTS
POVG09,BTS
SACB12,BTS
SACD10,BTS
SAFE01,BTS
SAPI06,BTS
SAPI14,BTS
SAPI18,BTS
SCAR08,BTS
AFAF03,BTS
AFCT01,BTS
CFJZ01,BTS
CFJZ03,BTS
CFUR64,BTS
CGAR01,BTS
CGEN01,BTS
CGEN02,BTS
CGIN02,BTS
CGIN03,BTS
CGJF20,BTS
CGJZ01,BTS
CGJZ02,BTS
CGJZ04,BTS
CGMG01,BTS
CGMM01,BTS
CGPA01,BTS
CGPN01,BTS
CGRO01,BTS
CGTB01,BTS
CGTT01,BTS
CGTT03,BTS
CGVG23,BTS
CGVH07,BTS
CHAC01,BTS
CHCN01,BTS
CHFS02,BTS
CHGV06,BTS
CHGV07,BTS
CHUR65,BTS
CHVG44,BTS
CHVG68,BTS
CIBH11,BTS
CIIT01,BTS
CIJF17,BTS
CIJF38,BTS
CIJF89,BTS
CIVG73,BTS
CJAB01,BTS
CJAC01,BTS
CJBV03,BTS
CJDV11,BTS
HTCT01,BTS
HWCT01,BTS
HZCT01,BTS
IAAR01,BTS
IACT01,BTS
IADV28,BTS
IADV63,BTS
IADV64,BTS
IAVC01,BTS
IAVC02,BTS
IBBB01,BTS
IBCE02,BTS
IBCT01,BTS
KPLR02,BTS
KRCE99,BTS
KSMO01,BTS
KSMO02,BTS
SPSPO_MSAN2427,MSAN
SPSPO_MSAN2428,MSAN
MWE-RJ-NITE65-N1,MWE
MWE-RJ-NITE67-N1,MWE
MWE-RJ-NVIG33-N1-HW,MWE
MWE-RJ-NVIG35-N1,MWE
MWE-RJ-PETR01-N1,MWE
MWE-RJ-PETR01-T2-HW,MWE
MWE-RJ-PETR02-N1,MWE
MWE-RS-SMAR09-N2,MWE
MWE-RS-SMAR09-N3,MWE
MWE-RS-SMAR10-N1,MWE
MWE-RS-SMAR11-N1,MWE
MWE-RS-SMAR12-N1,MWE
MWE-RS-SMAR13-N1,MWE
MWE-RS-SMAR15-N1,MWE
MWE-RS-SMAR15-N2,MWE
MWE-RS-SMAR15-N3,MWE
MWE-RS-SNJE01-N1,MWE
MWE-RS-SONP02-N1,MWE
MWE-RS-SONP05-N1,MWE
MWE-RS-SPGA01-N1,MWE
MWE-RS-SPGA03-N1,MWE
MWE-RS-SPLR01-N1,MWE
MWE-RS-SPLR01-N2,MWE
MWE-RS-SPLR02-N1,MWE
MWE-RS-SPSS01-N1,MWE
MWE-RS-SPSS02-N1,MWE
MWE-RS-SPSS03-N1,MWE
MWE-RS-SPSS03-N2,MWE
